year,scenario,population,annual_growth,total_growth_since_base_year,notes
2000,observed,7164444,40907,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2001,observed,7197638,33194,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2002,observed,7255653,58015,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2003,observed,7313853,58200,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2004,observed,7364148,50295,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2005,observed,7415102,50954,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2006,observed,7459128,44026,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2007,observed,7508739,49611,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2008,observed,7593494,84755,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2009,observed,7701856,108362,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2010,observed,7785806,83950,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2011,observed,7870134,84328,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2012,observed,7954662,84528,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2013,observed,8039060,84398,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2014,observed,8139631,100571,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2015,observed,8237666,98035,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2016,observed,8327126,89460,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2017,observed,8419550,92424,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2018,observed,8484130,64580,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2019,observed,8544527,60397,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2020,observed,8606033,61506,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2021,observed,8670300,64267,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2022,observed,8738791,68491,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2023,observed,8815385,76594,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2024,observed,8962258,146873,0,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2024,linear_trend_2000_base_year,8962258,,0,Extrapolation linéaire de la tendance 2000-2024
2025,linear_trend_2000_base_year,9037167,74909,74909,Extrapolation linéaire de la tendance 2000-2024
2026,linear_trend_2000_base_year,9112076,74909,149818,Extrapolation linéaire de la tendance 2000-2024
2027,linear_trend_2000_base_year,9186985,74909,224727,Extrapolation linéaire de la tendance 2000-2024
2028,linear_trend_2000_base_year,9261894,74909,299636,Extrapolation linéaire de la tendance 2000-2024
2029,linear_trend_2000_base_year,9336803,74909,374545,Extrapolation linéaire de la tendance 2000-2024
2030,linear_trend_2000_base_year,9411712,74909,449454,Extrapolation linéaire de la tendance 2000-2024
2031,linear_trend_2000_base_year,9486620,74909,524362,Extrapolation linéaire de la tendance 2000-2024
2032,linear_trend_2000_base_year,9561529,74909,599271,Extrapolation linéaire de la tendance 2000-2024
2033,linear_trend_2000_base_year,9636438,74909,674180,Extrapolation linéaire de la tendance 2000-2024
2034,linear_trend_2000_base_year,9711347,74909,749089,Extrapolation linéaire de la tendance 2000-2024
2035,linear_trend_2000_base_year,9786256,74909,823998,Extrapolation linéaire de la tendance 2000-2024
2036,linear_trend_2000_base_year,9861165,74909,898907,Extrapolation linéaire de la tendance 2000-2024
2037,linear_trend_2000_base_year,9936074,74909,973816,Extrapolation linéaire de la tendance 2000-2024
2038,linear_trend_2000_base_year,10010983,74909,1048725,Extrapolation linéaire de la tendance 2000-2024
2039,linear_trend_2000_base_year,10085892,74909,1123634,Extrapolation linéaire de la tendance 2000-2024
2040,linear_trend_2000_base_year,10160801,74909,1198543,Extrapolation linéaire de la tendance 2000-2024
2041,linear_trend_2000_base_year,10235710,74909,1273452,Extrapolation linéaire de la tendance 2000-2024
2042,linear_trend_2000_base_year,10310619,74909,1348361,Extrapolation linéaire de la tendance 2000-2024
2043,linear_trend_2000_base_year,10385527,74909,1423269,Extrapolation linéaire de la tendance 2000-2024
2044,linear_trend_2000_base_year,10460436,74909,1498178,Extrapolation linéaire de la tendance 2000-2024
2045,linear_trend_2000_base_year,10535345,74909,1573087,Extrapolation linéaire de la tendance 2000-2024
2046,linear_trend_2000_base_year,10610254,74909,1647996,Extrapolation linéaire de la tendance 2000-2024
2047,linear_trend_2000_base_year,10685163,74909,1722905,Extrapolation linéaire de la tendance 2000-2024
2048,linear_trend_2000_base_year,10760072,74909,1797814,Extrapolation linéaire de la tendance 2000-2024
2049,linear_trend_2000_base_year,10834981,74909,1872723,Extrapolation linéaire de la tendance 2000-2024
2050,linear_trend_2000_base_year,10909890,74909,1947632,Extrapolation linéaire de la tendance 2000-2024
2024,cagr_trend_2000_base_year,8962258,,0,Extrapolation CAGR 2000-2024
2025,cagr_trend_2000_base_year,9046257,83999,83999,Extrapolation CAGR 2000-2024
2026,cagr_trend_2000_base_year,9131042,84786,168784,Extrapolation CAGR 2000-2024
2027,cagr_trend_2000_base_year,9216623,85580,254365,Extrapolation CAGR 2000-2024
2028,cagr_trend_2000_base_year,9303005,86383,340747,Extrapolation CAGR 2000-2024
2029,cagr_trend_2000_base_year,9390197,87192,427939,Extrapolation CAGR 2000-2024
2030,cagr_trend_2000_base_year,9478207,88009,515949,Extrapolation CAGR 2000-2024
2031,cagr_trend_2000_base_year,9567041,88834,604783,Extrapolation CAGR 2000-2024
2032,cagr_trend_2000_base_year,9656708,89667,694450,Extrapolation CAGR 2000-2024
2033,cagr_trend_2000_base_year,9747215,90507,784957,Extrapolation CAGR 2000-2024
2034,cagr_trend_2000_base_year,9838571,91355,876313,Extrapolation CAGR 2000-2024
2035,cagr_trend_2000_base_year,9930782,92212,968524,Extrapolation CAGR 2000-2024
2036,cagr_trend_2000_base_year,10023858,93076,1061600,Extrapolation CAGR 2000-2024
2037,cagr_trend_2000_base_year,10117807,93948,1155549,Extrapolation CAGR 2000-2024
2038,cagr_trend_2000_base_year,10212635,94829,1250377,Extrapolation CAGR 2000-2024
2039,cagr_trend_2000_base_year,10308353,95718,1346095,Extrapolation CAGR 2000-2024
2040,cagr_trend_2000_base_year,10404968,96615,1442710,Extrapolation CAGR 2000-2024
2041,cagr_trend_2000_base_year,10502488,97520,1540230,Extrapolation CAGR 2000-2024
2042,cagr_trend_2000_base_year,10600922,98434,1638664,Extrapolation CAGR 2000-2024
2043,cagr_trend_2000_base_year,10700279,99357,1738021,Extrapolation CAGR 2000-2024
2044,cagr_trend_2000_base_year,10800567,100288,1838309,Extrapolation CAGR 2000-2024
2045,cagr_trend_2000_base_year,10901795,101228,1939537,Extrapolation CAGR 2000-2024
2046,cagr_trend_2000_base_year,11003972,102177,2041714,Extrapolation CAGR 2000-2024
2047,cagr_trend_2000_base_year,11107106,103134,2144848,Extrapolation CAGR 2000-2024
2048,cagr_trend_2000_base_year,11211208,104101,2248950,Extrapolation CAGR 2000-2024
2049,cagr_trend_2000_base_year,11316284,105077,2354026,Extrapolation CAGR 2000-2024
2050,cagr_trend_2000_base_year,11422346,106062,2460088,Extrapolation CAGR 2000-2024
2024,recent_trend_2015_base_year,8962258,,0,Extrapolation linéaire récente 2015-2024
2025,recent_trend_2015_base_year,9042768,80510,80510,Extrapolation linéaire récente 2015-2024
2026,recent_trend_2015_base_year,9123278,80510,161020,Extrapolation linéaire récente 2015-2024
2027,recent_trend_2015_base_year,9203789,80510,241531,Extrapolation linéaire récente 2015-2024
2028,recent_trend_2015_base_year,9284299,80510,322041,Extrapolation linéaire récente 2015-2024
2029,recent_trend_2015_base_year,9364809,80510,402551,Extrapolation linéaire récente 2015-2024
2030,recent_trend_2015_base_year,9445319,80510,483061,Extrapolation linéaire récente 2015-2024
2031,recent_trend_2015_base_year,9525830,80510,563572,Extrapolation linéaire récente 2015-2024
2032,recent_trend_2015_base_year,9606340,80510,644082,Extrapolation linéaire récente 2015-2024
2033,recent_trend_2015_base_year,9686850,80510,724592,Extrapolation linéaire récente 2015-2024
2034,recent_trend_2015_base_year,9767360,80510,805102,Extrapolation linéaire récente 2015-2024
2035,recent_trend_2015_base_year,9847870,80510,885612,Extrapolation linéaire récente 2015-2024
2036,recent_trend_2015_base_year,9928381,80510,966123,Extrapolation linéaire récente 2015-2024
2037,recent_trend_2015_base_year,10008891,80510,1046633,Extrapolation linéaire récente 2015-2024
2038,recent_trend_2015_base_year,10089401,80510,1127143,Extrapolation linéaire récente 2015-2024
2039,recent_trend_2015_base_year,10169911,80510,1207653,Extrapolation linéaire récente 2015-2024
2040,recent_trend_2015_base_year,10250422,80510,1288164,Extrapolation linéaire récente 2015-2024
2041,recent_trend_2015_base_year,10330932,80510,1368674,Extrapolation linéaire récente 2015-2024
2042,recent_trend_2015_base_year,10411442,80510,1449184,Extrapolation linéaire récente 2015-2024
2043,recent_trend_2015_base_year,10491952,80510,1529694,Extrapolation linéaire récente 2015-2024
2044,recent_trend_2015_base_year,10572462,80510,1610204,Extrapolation linéaire récente 2015-2024
2045,recent_trend_2015_base_year,10652973,80510,1690715,Extrapolation linéaire récente 2015-2024
2046,recent_trend_2015_base_year,10733483,80510,1771225,Extrapolation linéaire récente 2015-2024
2047,recent_trend_2015_base_year,10813993,80510,1851735,Extrapolation linéaire récente 2015-2024
2048,recent_trend_2015_base_year,10894503,80510,1932245,Extrapolation linéaire récente 2015-2024
2049,recent_trend_2015_base_year,10975014,80510,2012756,Extrapolation linéaire récente 2015-2024
2050,recent_trend_2015_base_year,11055524,80510,2093266,Extrapolation linéaire récente 2015-2024
2024,initiative_linear,8962258,,0,Trajectoire linéaire compatible avec le scénario initiative
2025,initiative_linear,9002171,39913,39913,Trajectoire linéaire compatible avec le scénario initiative
2026,initiative_linear,9042084,39913,79826,Trajectoire linéaire compatible avec le scénario initiative
2027,initiative_linear,9081997,39913,119739,Trajectoire linéaire compatible avec le scénario initiative
2028,initiative_linear,9121911,39913,159653,Trajectoire linéaire compatible avec le scénario initiative
2029,initiative_linear,9161824,39913,199566,Trajectoire linéaire compatible avec le scénario initiative
2030,initiative_linear,9201737,39913,239479,Trajectoire linéaire compatible avec le scénario initiative
2031,initiative_linear,9241650,39913,279392,Trajectoire linéaire compatible avec le scénario initiative
2032,initiative_linear,9281563,39913,319305,Trajectoire linéaire compatible avec le scénario initiative
2033,initiative_linear,9321476,39913,359218,Trajectoire linéaire compatible avec le scénario initiative
2034,initiative_linear,9361390,39913,399132,Trajectoire linéaire compatible avec le scénario initiative
2035,initiative_linear,9401303,39913,439045,Trajectoire linéaire compatible avec le scénario initiative
2036,initiative_linear,9441216,39913,478958,Trajectoire linéaire compatible avec le scénario initiative
2037,initiative_linear,9481129,39913,518871,Trajectoire linéaire compatible avec le scénario initiative
2038,initiative_linear,9521042,39913,558784,Trajectoire linéaire compatible avec le scénario initiative
2039,initiative_linear,9560955,39913,598697,Trajectoire linéaire compatible avec le scénario initiative
2040,initiative_linear,9600868,39913,638610,Trajectoire linéaire compatible avec le scénario initiative
2041,initiative_linear,9640782,39913,678524,Trajectoire linéaire compatible avec le scénario initiative
2042,initiative_linear,9680695,39913,718437,Trajectoire linéaire compatible avec le scénario initiative
2043,initiative_linear,9720608,39913,758350,Trajectoire linéaire compatible avec le scénario initiative
2044,initiative_linear,9760521,39913,798263,Trajectoire linéaire compatible avec le scénario initiative
2045,initiative_linear,9800434,39913,838176,Trajectoire linéaire compatible avec le scénario initiative
2046,initiative_linear,9840347,39913,878089,Trajectoire linéaire compatible avec le scénario initiative
2047,initiative_linear,9880261,39913,918003,Trajectoire linéaire compatible avec le scénario initiative
2048,initiative_linear,9920174,39913,957916,Trajectoire linéaire compatible avec le scénario initiative
2049,initiative_linear,9960087,39913,997829,Trajectoire linéaire compatible avec le scénario initiative
2050,initiative_linear,10000000,39913,1037742,Trajectoire linéaire compatible avec le scénario initiative
2024,initiative_cagr,8962258,,0,Trajectoire CAGR compatible avec le scénario initiative
2025,initiative_cagr,9000104,37846,37846,Trajectoire CAGR compatible avec le scénario initiative
2026,initiative_cagr,9038110,38006,75852,Trajectoire CAGR compatible avec le scénario initiative
2027,initiative_cagr,9076277,38167,114019,Trajectoire CAGR compatible avec le scénario initiative
2028,initiative_cagr,9114605,38328,152347,Trajectoire CAGR compatible avec le scénario initiative
2029,initiative_cagr,9153094,38490,190836,Trajectoire CAGR compatible avec le scénario initiative
2030,initiative_cagr,9191746,38652,229488,Trajectoire CAGR compatible avec le scénario initiative
2031,initiative_cagr,9230562,38815,268304,Trajectoire CAGR compatible avec le scénario initiative
2032,initiative_cagr,9269541,38979,307283,Trajectoire CAGR compatible avec le scénario initiative
2033,initiative_cagr,9308685,39144,346427,Trajectoire CAGR compatible avec le scénario initiative
2034,initiative_cagr,9347994,39309,385736,Trajectoire CAGR compatible avec le scénario initiative
2035,initiative_cagr,9387469,39475,425211,Trajectoire CAGR compatible avec le scénario initiative
2036,initiative_cagr,9427111,39642,464853,Trajectoire CAGR compatible avec le scénario initiative
2037,initiative_cagr,9466920,39809,504662,Trajectoire CAGR compatible avec le scénario initiative
2038,initiative_cagr,9506898,39977,544640,Trajectoire CAGR compatible avec le scénario initiative
2039,initiative_cagr,9547044,40146,584786,Trajectoire CAGR compatible avec le scénario initiative
2040,initiative_cagr,9587360,40316,625102,Trajectoire CAGR compatible avec le scénario initiative
2041,initiative_cagr,9627846,40486,665588,Trajectoire CAGR compatible avec le scénario initiative
2042,initiative_cagr,9668502,40657,706244,Trajectoire CAGR compatible avec le scénario initiative
2043,initiative_cagr,9709331,40829,747073,Trajectoire CAGR compatible avec le scénario initiative
2044,initiative_cagr,9750332,41001,788074,Trajectoire CAGR compatible avec le scénario initiative
2045,initiative_cagr,9791506,41174,829248,Trajectoire CAGR compatible avec le scénario initiative
2046,initiative_cagr,9832854,41348,870596,Trajectoire CAGR compatible avec le scénario initiative
2047,initiative_cagr,9874377,41523,912119,Trajectoire CAGR compatible avec le scénario initiative
2048,initiative_cagr,9916075,41698,953817,Trajectoire CAGR compatible avec le scénario initiative
2049,initiative_cagr,9957949,41874,995691,Trajectoire CAGR compatible avec le scénario initiative
2050,initiative_cagr,10000000,42051,1037742,Trajectoire CAGR compatible avec le scénario initiative
